Time_Period,All_retailing_including_automotive_fuel,Month_as_a_%_of_Total,All_Retailing_excluding_automotive_fuel,Month_as_a_%_of_Total_excluding_automotive_fuel,Predominantly_food_stores,Total_non-food_stores,Non-specialised_stores,"Textile,_clothing_and_footwear_stores",Household_goods_stores,Other_stores,Non-store_retailing,Automotive_fuel,Total_Annual_Sales_for_All_Retailing_including_automotive_fuel,Total_Annual_Sales_for_All_Retailing_excluding_automotive_fuel
1995JAN,,,12119448.00,6.85,5052688.00,6266418.00,1034835.00,1509083.00,1752868.00,1969632.00,800342.00,,,
1995FEB,,,12460358.00,7.04,5363971.00,6128325.00,990717.00,1405524.00,1657245.00,2074839.00,968062.00,,,
1995MAR,,,15828735.00,8.95,6810191.00,7896093.00,1276795.00,1871903.00,2036374.00,2711021.00,1122451.00,,,
1995APR,,,13074493.00,7.39,5640829.00,6629414.00,1080154.00,1723537.00,1646730.00,2178993.00,804250.00,,,
1995MAY,,,12975350.00,7.34,5650328.00,6496666.00,1027681.00,1703583.00,1578471.00,2186931.00,828356.00,,,
1995JUN,,,16268369.00,9.20,7005265.00,8208020.00,1372651.00,2125115.00,1947454.00,2762800.00,1055084.00,,,
1995JUL,,,13355180.00,7.55,5685951.00,6819736.00,1137352.00,1804224.00,1626015.00,2252145.00,849493.00,,,
1995AUG,,,13003201.00,7.35,5691336.00,6497516.00,1068629.00,1641744.00,1589256.00,2197887.00,814349.00,,,
1995SEP,,,16364479.00,9.25,6856387.00,8453354.00,1403748.00,2233789.00,2098816.00,2717001.00,1054738.00,,,
1995OCT,,,13647029.00,7.72,5579199.00,7131788.00,1195234.00,1802465.00,1824252.00,2309837.00,936042.00,,,
1995NOV,,,14822041.00,8.38,5764851.00,8043650.00,1517431.00,2067220.00,1963308.00,2495691.00,1013540.00,,TOTAL SALES IN 1995 £000s,
1995DEC,,,22952706.00,12.98,8342293.00,13486043.00,2881459.00,3886350.00,2835530.00,3882704.00,1124370.00,,,"17,68,71,389"
1996JAN,17216871.00,8.36,15766943.00,8.31,6761551.00,8020500.00,1372313.00,1877531.00,2211816.00,2558840.00,984892.00,1449928.00,,
1996FEB,14369116.00,6.98,13050509.00,6.88,5743640.00,6344859.00,1059242.00,1436754.00,1730323.00,2118540.00,962010.00,1318607.00,,
1996MAR,18342578.00,8.91,16764685.00,8.84,7419730.00,8267545.00,1374923.00,1957676.00,2150395.00,2784551.00,1077410.00,1577893.00,,
1996APR,15072263.00,7.32,13800351.00,7.28,5872909.00,7079523.00,1188025.00,1755346.00,1772288.00,2363864.00,847919.00,1271912.00,,
1996MAY,14821129.00,7.20,13625221.00,7.18,5896876.00,6922823.00,1104337.00,1713773.00,1753709.00,2351004.00,805522.00,1195908.00,,
